epoch,acc,loss,val_acc,val_loss
0,0.34432968,10.063465310711326,0.4005399,8.51619661771334
1,0.47102177,2.4963068986481702,0.55148476,1.4349650190426753
2,0.5282889,1.4350399909568838,0.5686078,1.3475139232782216
3,0.5449965,1.372034089359443,0.57500964,1.3080890499628508
4,0.5566655,1.330244787368327,0.58079445,1.2478196208293622
5,0.5677956,1.2894446339301715,0.5969919,1.2063330709934235
6,0.57784766,1.2594328590516615,0.59367526,1.212702723649832
7,0.5858694,1.2347039063309375,0.6092557,1.1730977296829224
8,0.59345233,1.2101087235859354,0.6062476,1.1672893051917737
9,0.5996816,1.190070914550398,0.6087158,1.1629913036639874
10,0.60819215,1.1686881660375172,0.5729271,1.2117179723886342
11,0.6118144,1.1501370644265785,0.61642885,1.1323296496501336
12,0.6195227,1.1353444473609324,0.61118394,1.1341757568029256
13,0.6231575,1.1212214713324686,0.6191284,1.1281327330149138
14,0.62938684,1.106298565864563,0.62445045,1.106932303080192
15,0.6326582,1.0896463310851217,0.6228307,1.1146533168279207
16,0.6378973,1.074579373855212,0.6252217,1.1060162507570708
17,0.6430613,1.0590870587072485,0.6273814,1.0953691005706787
18,0.647611,1.04518805931483,0.629464,1.0918114139483526
19,0.6533014,1.0302110449619688,0.62614733,1.09625237263166
20,0.65857816,1.017878464425828,0.6110297,1.121549624663133
21,0.6638173,1.004112465850427,0.63023525,1.0911276386334345
22,0.66530883,0.9958997589229617,0.629464,1.0918674835791955
23,0.66765267,0.979815184603863,0.6272271,1.0898695381788106
24,0.6753986,0.9656179781712179,0.6288469,1.0958729798977191
