epoch,acc,loss,val_acc,val_loss
0,0.4540065,2.1214208045027374,0.52915764,1.5024564541303194
1,0.51178825,1.508293365315448,0.5463591,1.4416664380293627
2,0.52864647,1.4529076205747717,0.5525301,1.4023417417819684
3,0.53572816,1.421551500667823,0.5612465,1.3666092203213618
4,0.5434115,1.3955445432155544,0.5656433,1.3445799900935247
5,0.54843765,1.3742934572764371,0.5743598,1.3146837124457726
6,0.5540278,1.3566878950832084,0.57621104,1.3160384251521184
7,0.55836457,1.3410624734884684,0.5796822,1.286205388032473
8,0.5606583,1.3272898833376314,0.58585316,1.2753425378065844
9,0.5627765,1.3189405816431181,0.58670163,1.2730998763671288
10,0.56768984,1.3074053149259606,0.58986425,1.2748437019494863
11,0.5690811,1.297491971789276,0.59287256,1.2476179462212782
12,0.5717759,1.2882318562895791,0.5951095,1.2373370895018945
13,0.57490945,1.2791819192526366,0.59580374,1.2410042469318097
14,0.5770778,1.2707421057440897,0.5973465,1.21947803405615
15,0.57699007,1.2655362017617915,0.5990435,1.2153124396617596
16,0.57952195,1.2569403389078366,0.6022061,1.2137864048664386
17,0.5835704,1.24560188034912,0.60606295,1.1956403805659368
18,0.5854004,1.2387315883375054,0.60544586,1.1891194719534655
19,0.58784455,1.2320549973612802,0.6082999,1.1885122794371386
20,0.5894865,1.2269590093524025,0.6068343,1.1986529368620653
21,0.5925448,1.2195650438533654,0.61076826,1.1769432654747596
22,0.5939611,1.2157551361824996,0.6086084,1.1763476568918962
23,0.59754586,1.2091773880093888,0.6122339,1.1710129380226135
24,0.59792185,1.2030394680691314,0.6133909,1.174495082635146
