epoch,crf_viterbi_accuracy,loss,val_crf_viterbi_accuracy,val_loss
0,0.27466345477637044,2.113084581456607,0.2908496754426582,2.0366454030953203
1,0.2985357663629553,1.9532219839246967,0.40305011062061086,1.6629554874756758
2,0.4321629488958588,1.588358170058154,0.5059134749805226,1.4283913841434555
3,0.5059398237285735,1.3959730318452739,0.534235918638753,1.3332127566431082
4,0.5327757693166975,1.3176114981687521,0.5541549956097322,1.2781932143604053
5,0.54393962157678,1.2756282545720474,0.5649704331276464,1.2367038399565453
6,0.5566857547699651,1.2263610472407522,0.5736072232910231,1.198440877830281
7,0.5649989960314352,1.1927370289458503,0.5783535674506542,1.1753801037283504
8,0.5712653220265727,1.1627433432053915,0.5798319303521923,1.1535453936632942
9,0.5766023719989801,1.1332427670684042,0.5773420520857269,1.1459772937438066
