epoch,acc,loss,val_acc,val_loss
0,0.29916146,11.099839819055425,0.3942456,9.505195911114033
1,0.38906786,9.565943685168497,0.4022678,9.360599316083468
2,0.39598662,9.44567860500689,0.40674174,9.330504912596483
3,0.40138876,9.415640423456054,0.40797594,9.319687109727125
4,0.40477294,9.403217414277032,0.4068189,9.3246703514686
5,0.40681598,9.397075839165963,0.4089787,9.316058452312763
6,0.40883395,9.391979719570099,0.4093644,9.318056106567383
7,0.41015002,9.388319460299126,0.4099815,9.317079562407274
8,0.41159144,9.385073986194277,0.40905586,9.31557741531959
9,0.41204268,9.383053156497695,0.40928724,9.317665173457218
10,0.41379744,9.380078364373054,0.4093644,9.317942656003511
11,0.41447425,9.377785584373852,0.4093644,9.318178195219774
12,0.4151887,9.37628111041946,0.4087473,9.319903116959791
13,0.4156274,9.375084306492603,0.40890157,9.32153998888456
