epoch,acc,loss,val_acc,val_loss
0,0.3261431,7.125126915579035,0.4968762,1.682117773936345
1,0.47676226,1.658301684976664,0.5236406,1.5596158229387724
2,0.50020057,1.565323393179686,0.54114926,1.4900187804148748
3,0.50874865,1.5222273116172478,0.5420748,1.470382653749906
4,0.5170335,1.4930104775688395,0.5450058,1.4357793560394874
5,0.5226236,1.4731330970195953,0.54824525,1.412030421770536
6,0.5239772,1.4542776056580566,0.5463941,1.416278939980727
7,0.5287025,1.4405872558359276,0.5537987,1.3862354663702159
8,0.5323624,1.4286614827140098,0.55518705,1.3672880576207087
9,0.53532034,1.4160207483816993,0.5544929,1.3673545030447154
10,0.5368871,1.4068543682554522,0.55842656,1.3597852404300983
11,0.5389677,1.3988453843200814,0.56004626,1.3464860732738788
12,0.54127395,1.3887681476237672,0.56182027,1.3379658368917613
13,0.5449338,1.380844594948655,0.56274587,1.3487485142854543
14,0.5440815,1.3773519915610681,0.56583107,1.3228726662122285
15,0.54826784,1.368910836908101,0.5649055,1.324067698075221
16,0.5495588,1.36100232001115,0.5679136,1.3154045664347136
17,0.5502106,1.3558754664443744,0.5723872,1.3055780621675344
18,0.5526171,1.3514805925438687,0.5725415,1.3002488704828115
19,0.5537326,1.3451867250959648,0.5763209,1.3007837258852446
20,0.5556127,1.3373009191166132,0.5723101,1.3018295902472277
21,0.5574301,1.3364265758630494,0.57932895,1.2884347713910616
22,0.5582824,1.3296799212559696,0.5757038,1.2878340528561518
23,0.56315804,1.3209142658400415,0.579946,1.281891249693357
24,0.5626316,1.318532909981695,0.5814886,1.286842291171734
