epoch,acc,loss,val_acc,val_loss
0,0.45688358,2.9458042024717424,0.56382567,1.3174042059825017
1,0.5526547,1.3372429284649723,0.5918241,1.2336110931176405
2,0.5766444,1.2630227287207947,0.60686463,1.1800480622511644
3,0.5904191,1.213199494440386,0.6168145,1.161602299947005
4,0.6016996,1.1814041882140771,0.61588895,1.1388325278575604
5,0.6125414,1.1498044871595432,0.6251446,1.1067010531058679
6,0.6191467,1.1261505030658125,0.6194369,1.112785158249048
7,0.62532586,1.1091789578669506,0.6331662,1.086454960016104
8,0.6319939,1.0905220725884663,0.6311608,1.0843411569411938
9,0.6358919,1.073211020994459,0.63108367,1.0876424473065596
10,0.64065474,1.0592728186356535,0.60786736,1.1233421907975123
11,0.64662087,1.0436772709563158,0.6368685,1.067376366028419
12,0.64934075,1.0345731710677615,0.6301581,1.0686696217610285
13,0.6552442,1.016863565459051,0.6320864,1.0740988300396845
14,0.6580392,1.009972436890898,0.64026225,1.067671496134538
15,0.66187453,0.9963055279206383,0.64026225,1.0654566402618701
16,0.6636418,0.9857480305672935,0.6377941,1.065644261928705
17,0.67061067,0.9722513103274731,0.6412649,1.0518591701984406
18,0.67057306,0.9659350274272086,0.6426533,1.055993419427138
19,0.67391956,0.9598756062760941,0.63949096,1.054143564059184
20,0.6769778,0.9480345675666294,0.6348631,1.0649636319050422
21,0.68117666,0.9390458317418807,0.6424219,1.0562097705327547
22,0.6826181,0.9309542229131819,0.6396452,1.0559125061218555
