epoch,crf_viterbi_accuracy,loss,val_crf_viterbi_accuracy,val_loss
0,0.2632358879723315,2.1063573790501944,0.28742608340347514,2.004238432528926
1,0.3140194915659443,1.9184951423844205,0.3727824483432022,1.758871644150977
2,0.3732293549972244,1.7298221112806587,0.4145658255792132,1.6315753132689232
3,0.42362366810063773,1.5895546995386292,0.4719109850771287,1.49405154059915
4,0.4758639733625364,1.4480361691381358,0.5267662633867825,1.335337811825322
5,0.5212854141298728,1.317349486713168,0.5504201714899025,1.2458839439878278
6,0.5373467970875245,1.2560760980542702,0.5587457213916031,1.2040105894500135
7,0.5506580291858202,1.2120086890232713,0.5718954246418149,1.1694135397088294
8,0.5603902959559537,1.1758648030742813,0.5764083447409611,1.1540707758828705
9,0.5663552339884299,1.1439748708205888,0.5686274544865477,1.143576367228639
