epoch,crf_viterbi_accuracy,loss,val_crf_viterbi_accuracy,val_loss
0,0.2824432268571049,2.026713025914894,0.3569218754768372,1.7700155282020569
1,0.41541147557868835,1.5532918474681892,0.5121406269073486,1.3404223477840425
2,0.5265499400364241,1.2898583663238206,0.5625937485694885,1.2027080738544464
3,0.5515474279402153,1.2025697608852692,0.5637656223773956,1.1596712625026704
4,0.5610430056642489,1.1633779427629576,0.5737656193971634,1.1425789868831635
5,0.5673357095940703,1.1254360811886681,0.5809843760728836,1.1029631900787353
6,0.571988040227982,1.1002613629942155,0.5827187526226044,1.077897480726242
7,0.5689258447030733,1.092165271185602,0.5860781252384186,1.0522360110282898
8,0.5788208402429746,1.0439177483224409,0.5888593721389771,1.027437047958374
9,0.5811394704116503,1.0205892523768632,0.5904999989271164,1.0002773439884185
