epoch,acc,loss,val_acc,val_loss
0,0.52405244,2.28121385272642,0.59946007,1.201083623445951
1,0.6011105,1.1793655822045894,0.62275356,1.136068004828233
2,0.6234333,1.1108053855117603,0.6266101,1.1046650134600127
3,0.63460094,1.0728640514618772,0.631855,1.0869810558282411
4,0.6446155,1.0430851293150454,0.63100654,1.0877196857562432
5,0.65135866,1.0168544825849664,0.63401467,1.073714173757113
6,0.6572872,0.9983353033164291,0.6326263,1.07255826317347
7,0.66488266,0.9796332948535134,0.63648283,1.0668411071483905
8,0.66968316,0.9630335826136506,0.6301581,1.0741227315022395
9,0.6727414,0.9484506846310967,0.63146937,1.0753743854852824
10,0.68002355,0.9316053475549966,0.60979563,1.1114375774676983
11,0.6842099,0.9198451024604085,0.6311608,1.082205600463427
12,0.68656623,0.906146016801526,0.62730426,1.0873634081620436
