epoch,crf_viterbi_accuracy,loss,val_crf_viterbi_accuracy,val_loss
0,0.3369197150425824,1.8826135565613626,0.4469531214237213,1.5654957342147826
1,0.5148261664764674,1.3997616187169237,0.5617187505960465,1.2824569296836854
2,0.568687198246407,1.231789943872924,0.5874218755960464,1.1762405407428742
3,0.5827421641809764,1.1542675857375289,0.5946093720197677,1.1334556114673615
4,0.5920141673739701,1.0992153244769842,0.5905625009536744,1.0996028113365173
5,0.599480005035063,1.0469816668240588,0.6038750004768372,1.0459342408180237
6,0.6094026328858072,1.0023748408943127,0.6074218738079071,1.0168511068820953
7,0.618079279875832,0.9583535913102497,0.6143437498807907,0.9707880389690399
8,0.626979502163516,0.9196696980973149,0.620281246304512,0.9374912762641907
9,0.6354828163550215,0.8794701417542731,0.6199374961853027,0.9286470830440521
