epoch,crf_viterbi_accuracy,loss,val_crf_viterbi_accuracy,val_loss
0,0.46210351373125885,1.5900441848963403,0.5693880164623261,1.2778066658973695
1,0.5729606287655723,1.2235071342857704,0.5904687511920929,1.158772164583206
2,0.5947276097018619,1.1103341004472838,0.6094010418653488,1.0638950335979462
3,0.6172649541276828,1.0131479668463925,0.6200130194425583,0.9926007390022278
4,0.6381610895468107,0.931502496697895,0.6271875023841857,0.9552077901363373
5,0.6525635542976894,0.8669688301071093,0.6438802075386048,0.8997602975368499
6,0.662624346673297,0.8187237705831742,0.6454036450386047,0.8696393847465516
7,0.6726223372186495,0.7790205096316875,0.6516536450386048,0.844185277223587
8,0.6792123030236297,0.7454957133129095,0.6451302099227906,0.8454531109333039
9,0.6869117608024377,0.7144788526645427,0.6494531238079071,0.8265811276435852
