epoch,crf_viterbi_accuracy,loss,val_crf_viterbi_accuracy,val_loss
0,0.28453385854092766,2.076251276308977,0.3458605677473779,1.8839908487656538
1,0.43408428792712056,1.6201096820303156,0.5372704647335351,1.37758861803541
2,0.5453335360824307,1.3165025720490684,0.5757080632097581,1.2585543417463116
3,0.5734252576963811,1.2200879124523718,0.5834889534641715,1.2075265096683128
4,0.5889089807302137,1.1549709327990496,0.587924060868282,1.1741485058092604
5,0.5994700632895096,1.103382452945166,0.5914254626807045,1.1460297832302018
6,0.6078209762897673,1.055611401230474,0.5889355750644908,1.1258379489767785
7,0.6174402246369591,1.0097322203690493,0.5939153473751217,1.1049208956606247
8,0.6285412905714179,0.9642053122007395,0.6008403388892903,1.088297112315309
9,0.6430831820338587,0.9153056352198878,0.5983504536105138,1.0744603299627118
