epoch,acc,loss,val_acc,val_loss
0,0.3696573,3.1249596387247265,0.5166242,1.7607132013027484
1,0.44303226,1.7164802445630456,0.52294993,1.6798193683991065
2,0.4653556,1.6392018356738267,0.5123814,1.6375799408325782
3,0.47796497,1.5962068449572016,0.49641287,1.622803765993852
4,0.4855356,1.5638817980243378,0.44688728,1.6046791626856878
5,0.49388334,1.5390854198125608,0.4323845,1.6050775555463939
6,0.4995613,1.5245595723693153,0.44048446,1.6186205469644988
7,0.5057281,1.5023037081527881,0.4340045,1.60516023177367
8,0.5075957,1.4898032448189038,0.42875877,1.602243735240056
9,0.5121707,1.4751011002990446,0.4154131,1.629362193437723
10,0.5162443,1.4692658438386945,0.38748747,1.6667660933274488
11,0.5208944,1.4558807587349263,0.43639588,1.6359919676413903
12,0.5254067,1.4474734906455053,0.41402453,1.6583498532955463
13,0.5264972,1.4384067648169732,0.41255882,1.655634499513186
