epoch,acc,loss,val_acc,val_loss
0,0.34794816,2.1527439749120445,0.49564144,1.6019770457194402
1,0.477426,1.6296646734916964,0.5173957,1.488058594556955
2,0.49749318,1.535382687951368,0.5352156,1.4178924468847423
3,0.51521647,1.474424457150204,0.5481756,1.3848996712611272
4,0.52860296,1.4327814032974027,0.5684641,1.350983046568357
5,0.54242814,1.3949789974737357,0.5745584,1.3178462661229646
6,0.55254316,1.3674691450670267,0.5754841,1.3073761463165283
7,0.55839664,1.3454256895530348,0.57802975,1.2841449150672326
8,0.5620065,1.3268521993972069,0.58126974,1.2679483294487
9,0.56758416,1.309655590604963,0.5848183,1.260183403125176
10,0.5742774,1.29389480381897,0.58427835,1.257439319904034
11,0.5797423,1.281212309271606,0.5909126,1.245332000347284
12,0.5837783,1.266956679329307,0.5955412,1.2333288078124707
13,0.5904966,1.250002291333974,0.5936126,1.2379106008089507
14,0.59621215,1.2394736771273842,0.6009411,1.2249515881905189
15,0.5977539,1.228067583392411,0.5997068,1.218775178377445
16,0.6003986,1.2163979246510515,0.60148114,1.2128684681195478
17,0.60636485,1.2022869291782725,0.60441256,1.2021324451153095
18,0.6087714,1.1950170097949706,0.60526115,1.1990581177748167
19,0.61275727,1.181960483291969,0.60348684,1.1975454229574938
20,0.6156527,1.1720676477583392,0.60279256,1.1955402195453644
21,0.61839765,1.1635519584719258,0.6071897,1.1914385121602278
22,0.6210674,1.153102001979858,0.607344,1.1896080237168531
23,0.62699604,1.1449038877529258,0.6086554,1.1834926032103026
24,0.6280364,1.1326188509505684,0.60518396,1.1924664607414832
