epoch,crf_viterbi_accuracy,loss,val_crf_viterbi_accuracy,val_loss
0,0.4182112725640211,1.6717848547651797,0.540227203392515,1.3450845982514175
1,0.5511728971253468,1.2869336029774026,0.5813881117923587,1.213813514101739
2,0.5798548336459112,1.1691299395847925,0.5897914714672986,1.150691600406871
3,0.5958283105039899,1.0883219389221337,0.589558041563221,1.1056113617092955
4,0.6111487844322301,1.020923357409767,0.5992063500133216,1.0631516529064553
5,0.6296338158883626,0.9593076736112184,0.600918149246889,1.042916574898888
6,0.6459086781627015,0.9019619609358944,0.6081543745947819,1.019515237387489
7,0.6611789215969134,0.8447724186544177,0.6072984776076149,1.0109774844319213
8,0.6785211942241162,0.789120461650287,0.6173358244054458,0.9938588563133689
9,0.6931761073160775,0.7329395576557026,0.6183473426921695,0.9897733377475365
