epoch,acc,loss,val_acc,val_loss
0,0.42807186,1.9845839666317042,0.552461,1.452008293225215
1,0.5209135,1.5055725505789792,0.56310755,1.395572543144226
2,0.5370702,1.4487801402251765,0.5723654,1.3598839824016278
3,0.54481643,1.415843014256528,0.57660854,1.3417270871309133
4,0.5487397,1.391688047151863,0.5760685,1.3310680664502657
5,0.5541169,1.373202669459289,0.5800031,1.3083218840452342
6,0.55691206,1.3588681307791814,0.5805431,1.304214922281412
7,0.56017095,1.3471032474774371,0.5833205,1.2887636056313148
8,0.561086,1.337350961901458,0.5876408,1.277710992556352
9,0.56455797,1.3281116969180697,0.5905724,1.2752263500140264
10,0.56666374,1.3158130663428416,0.5974387,1.2667555442223182
11,0.56864417,1.3109340961814335,0.59550995,1.2569708228111267
12,0.57151455,1.301661537796626,0.59913594,1.250966292161208
13,0.5743974,1.2954182629448934,0.59535563,1.2526469001403222
14,0.5771299,1.2890286738317789,0.59604996,1.244337879694425
15,0.5769043,1.285128836411768,0.5974387,1.2374738569443042
16,0.5802509,1.2803865303553152,0.5985959,1.2380287509698134
17,0.58135396,1.2740817290477495,0.6020676,1.2272836726445417
18,0.5807774,1.27270789261537,0.60183614,1.2254402201909285
19,0.5815169,1.264539788749547,0.60492206,1.2204882548405573
20,0.584287,1.2602252128021705,0.60661936,1.221520455983969
21,0.5843622,1.2585464092260903,0.60769945,1.213586002588272
22,0.58419925,1.254817353246313,0.60553926,1.2167577399657323
23,0.58636767,1.2535906060574755,0.6094738,1.210210653451773
24,0.58824784,1.2459521454117917,0.60769945,1.2128513409541204
